,project_id,primary_site
0,TCGA-PRAD,Prostate
1,TCGA-LUSC,Lung squamous
2,TCGA-KIRC,Kidney (KIRC)
3,TCGA-THCA,Thyroid
4,TCGA-BRCA,Breast
5,TCGA-ESCA,Esophagus
6,TCGA-STAD,Stomach
7,TCGA-LGG,Glioma
8,TCGA-LIHC,Liver
9,TCGA-GBM,Glioblastoma
10,TCGA-HNSC,Head and Neck
11,TCGA-LUAD,Lung adeno
12,TCGA-OV,Ovary
13,TCGA-UCEC,Endometrium
14,TCGA-THYM,Thymus
15,TCGA-COAD,Colorectal
16,TCGA-SARC,Sarcoma
17,TCGA-KICH,Kidney (KICH)
18,TCGA-PCPG,Adrenal
19,TCGA-READ,Rectum
20,TCGA-SKCM,Melanoma
21,TCGA-PAAD,Pancreas
22,TCGA-KIRP,Kidney (KIRP)
23,TCGA-BLCA,Bladder
24,TCGA-TGCT,Testis
25,TCGA-CESC,Cervix
26,TCGA-MESO,Pleura
27,TCGA-LAML,AML
28,TCGA-CHOL,Bile Duct
29,TCGA-DLBC,Lymph Nodes
30,TCGA-ACC,Adrenal Gland
31,TCGA-UVM,Eye
32,TCGA-UCS,Uterus
